session,Pre_Stimulus_Imaging,No_Lick_Interval_min,No_Lick_Interval_max,No_Lick_Interval_n,No_Lick_Correct_Rejection_Interval_min,No_Lick_Correct_Rejection_Interval_max,No_Lick_Correct_Rejection_Interval_n,Lick_Window,Left_Stimulus_Duration,Right_Stimulus_Duration,Total_Lockout,n_Rewards,Solenoid_Open,Total_Rewards,Total_Solenoid_Open,Target_Distractor
230504,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,1,0.05,150,0.05,Original
230507,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,13,0.05,150,0.65,Original
230508,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,8,0.05,150,0.4,Original
230509,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,38,0.05,150,1.9000000000000001,Original
230510,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,56,0.05,150,2.8000000000000003,Original
230511,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,63,0.05,150,3.1500000000000004,Original
230512,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,11,0.05,150,0.55,Original
230513,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,80,0.05,150,4.0,Original
230514,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,4,0.05,150,0.2,Original
230515,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,1,0.05,150,0.05,Original
230516,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,46,0.05,150,2.3000000000000003,Original
230517,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,68,0.05,150,3.4000000000000004,Original
230518,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,110,0.05,150,5.5,Original
230519,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,27,0.05,150,1.35,Original
230520,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,65,0.05,150,3.25,Original
230521,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,54,0.05,150,2.7,Original
230522,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,65,0.05,150,3.25,Original
230523,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,25,0.05,150,1.25,Original
