session,Pre_Stimulus_Imaging,No_Lick_Interval_min,No_Lick_Interval_max,No_Lick_Interval_n,No_Lick_Correct_Rejection_Interval_min,No_Lick_Correct_Rejection_Interval_max,No_Lick_Correct_Rejection_Interval_n,Lick_Window,Left_Stimulus_Duration,Right_Stimulus_Duration,Total_Lockout,n_Rewards,Solenoid_Open,Total_Rewards,Total_Solenoid_Open,Target_Distractor
230705,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,3,0.05,150,0.15000000000000002,Original
230706,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,1,0.05,150,0.05,Original
230707,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,4,0.05,150,0.2,Original
230708,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,20,0.05,150,1.0,Original
230709,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,19,0.05,150,0.9500000000000001,Original
230710,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,33,0.05,150,1.6500000000000001,Original
230712,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,27,0.05,150,1.35,Original
230713,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,19,0.05,150,0.9500000000000001,Original
230714,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,33,0.05,150,1.6500000000000001,Original
230715,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,25,0.05,150,1.25,Original
230717,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,70,0.05,150,3.5,Original
230718,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,79,0.05,150,3.95,Original
230719,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,41,0.05,150,2.0500000000000003,Original
230720,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,16,0.05,150,0.8,Original
230721,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,58,0.05,150,2.9000000000000004,Original
