session,n_trials,n_target,n_distractor,n_catch,hits,misses,false_alarms,correct_rejections,hit_rate,fa_rate,accuracy,dprime,criterion,mean_lick_latency_s,session_duration_min,n_licks,lick_rate_hz,n_camera_frames,camera_fps_est,day_number
230705,313,172,138,3,2,170,0,138,0.011627906976744186,0.0,0.4472843450479233,0.4160986391782213,2.4772551158740743,0.8857352999999648,33.08990431,34,0.01712506211435057,6886,9.992825151538861,1
230706,381,212,168,1,0,212,0,168,0.0,0.0,0.4409448818897638,-0.07535860815491358,2.788072405288363,,39.79495354833333,1,0.0004188135725909068,8387,9.992565531242226,2
230707,346,175,161,10,3,172,10,151,0.017142857142857144,0.062111801242236024,0.44508670520231214,-0.5794106036347282,1.826990018273733,0.6509851000000052,37.76506691666667,293,0.12930821343727572,7612,9.99310475771811,3
230708,247,91,112,44,28,63,23,89,0.3076923076923077,0.20535714285714285,0.47368421052631576,0.32023506770071153,0.6625197572237113,0.5242506610389712,50.697476605000006,1934,0.6357975878064579,5434,9.993194634449535,4
230709,278,102,118,58,25,77,35,83,0.24509803921568626,0.2966101694915254,0.38848920863309355,-0.1558218122210583,0.6120860867482536,0.6186252864197347,58.13476449666667,1341,0.3844515445019392,6116,9.993184648069047,5
230710,345,107,151,87,50,57,54,97,0.4672897196261682,0.3576158940397351,0.4260869565217391,0.28275413600141924,0.22346166795272712,0.5708127322313878,70.38335449333333,1084,0.2566894800158741,7590,9.991906555685338,6
230712,245,76,111,58,36,40,40,71,0.47368421052631576,0.36036036036036034,0.43673469387755104,0.29148391967748266,0.21175377221458208,0.6363734788889001,54.65948933833333,1888,0.5756853393176274,5390,9.990349322540176,7
230713,199,38,80,81,22,16,37,43,0.5789473684210527,0.4625,0.32663316582914576,0.2933387391128034,-0.0525319552328653,0.6346003249999885,49.543783436666665,1486,0.499894536684439,4378,9.990469092498461,8
230714,357,116,175,66,41,75,56,119,0.35344827586206895,0.32,0.4481792717086835,0.09167143356192686,0.4218630823335448,0.6351769833333465,59.868413421666666,682,0.18986083006089846,7854,9.990618808939375,9
230715,216,45,80,91,31,14,39,41,0.6888888888888889,0.4875,0.3333333333333333,0.524041315081468,-0.23068267551930738,0.5510090731707568,70.61198987166667,1501,0.3542835531491615,4752,9.990918255311813,10
230717,290,85,124,81,75,10,56,68,0.8823529411764706,0.45161290322580644,0.49310344827586206,1.3084188155063015,-0.5326220250026678,0.49967598214285613,59.84057192,1241,0.3456406359381823,6380,9.990429168859952,11
230718,280,109,123,48,87,22,45,78,0.7981651376146789,0.36585365853658536,0.5892857142857143,1.1779405307436501,-0.24611495998149804,0.42882469577466187,57.64107724,1922,0.555737936679362,6160,9.99047907346362,12
230719,181,55,81,45,45,10,38,43,0.8181818181818182,0.4691358024691358,0.4861878453038674,0.985900277058914,-0.4155077300079283,0.39930700574712846,42.13195593499999,1430,0.5656830499420139,3982,9.990239535985491,13
230720,142,25,58,59,21,4,33,25,0.84,0.5689655172413793,0.323943661971831,0.8207168212979803,-0.584099472560763,0.44999539666664173,60.31430609666666,1755,0.4849595708374822,3124,9.990249516469285,14
230721,458,225,211,22,57,168,18,193,0.25333333333333335,0.08530805687203792,0.5458515283842795,0.7061898605857307,1.0171318733872203,0.5506285719999895,51.700496881666666,310,0.09993456500993128,10076,9.990578884121295,15
