session,phase,category,frame,mean_dFF,H,W,n_frames
230714,Expert,Hits,0,0.012710846093959479,142,170,22
230714,Expert,Hits,1,-0.00020695279923726943,142,170,22
230714,Expert,Hits,2,0.0005476448352044567,142,170,22
230714,Expert,Hits,3,-0.0008840655701743341,142,170,22
230714,Expert,Hits,4,-0.0007455603378382003,142,170,22
230714,Expert,Hits,5,0.0002449658810881295,142,170,22
230714,Expert,Hits,6,0.00014398095919487868,142,170,22
230714,Expert,Hits,7,-0.00020373994072868975,142,170,22
230714,Expert,Hits,8,0.0006474681393241902,142,170,22
230714,Expert,Hits,9,-0.00038068693338763984,142,170,22
230714,Expert,Hits,10,0.0008369457665544672,142,170,22
230714,Expert,Hits,11,0.0005453163667055172,142,170,22
230714,Expert,Hits,12,0.0004105383280873845,142,170,22
230714,Expert,Hits,13,0.001488106939530674,142,170,22
230714,Expert,Hits,14,0.004760837334170473,142,170,22
230714,Expert,Hits,15,0.00927477493898096,142,170,22
230714,Expert,Hits,16,0.01634123863792306,142,170,22
230714,Expert,Hits,17,0.02795890322636917,142,170,22
230714,Expert,Hits,18,0.03770350409895582,142,170,22
230714,Expert,Hits,19,0.045379674038926114,142,170,22
230714,Expert,Hits,20,0.046334461878162085,142,170,22
230714,Expert,Hits,21,0.04395080538458792,142,170,22
230714,Expert,GoodLicks,0,0.0004918030825360818,142,170,14
230714,Expert,GoodLicks,1,5.480914058071896e-05,142,170,14
230714,Expert,GoodLicks,2,0.0005125356944731311,142,170,14
230714,Expert,GoodLicks,3,-2.8541552743786417e-05,142,170,14
230714,Expert,GoodLicks,4,0.0005206404488909872,142,170,14
230714,Expert,GoodLicks,5,0.001359015238492699,142,170,14
230714,Expert,GoodLicks,6,0.001804903492451876,142,170,14
230714,Expert,GoodLicks,7,0.002318679755096804,142,170,14
230714,Expert,GoodLicks,8,0.006390150521298913,142,170,14
230714,Expert,GoodLicks,9,0.017603231545004948,142,170,14
230714,Expert,GoodLicks,10,0.027406968962133203,142,170,14
230714,Expert,GoodLicks,11,0.04178333474840094,142,170,14
230714,Expert,GoodLicks,12,0.04718838675167133,142,170,14
230714,Expert,GoodLicks,13,0.0460693309934752,142,170,14
230714,Expert,FA,0,-0.004225203905968857,142,170,22
230714,Expert,FA,1,-0.0004686620074219511,142,170,22
230714,Expert,FA,2,-0.0007629377092362997,142,170,22
230714,Expert,FA,3,9.628600680565362e-05,142,170,22
230714,Expert,FA,4,-0.0004511649757479181,142,170,22
230714,Expert,FA,5,-0.0005690322863029639,142,170,22
230714,Expert,FA,6,-0.0007221405815227245,142,170,22
230714,Expert,FA,7,-0.0005093550821101317,142,170,22
230714,Expert,FA,8,0.0009957578587818222,142,170,22
230714,Expert,FA,9,0.001201047329987509,142,170,22
230714,Expert,FA,10,0.0011902014467670005,142,170,22
230714,Expert,FA,11,0.0029110482213030617,142,170,22
230714,Expert,FA,12,0.0050786671382485205,142,170,22
230714,Expert,FA,13,0.006969183697820027,142,170,22
230714,Expert,FA,14,0.008125007044207405,142,170,22
230714,Expert,FA,15,0.009434748300442086,142,170,22
230714,Expert,FA,16,0.012124324986842502,142,170,22
230714,Expert,FA,17,0.014793696322600311,142,170,22
230714,Expert,FA,18,0.014624534479892475,142,170,22
230714,Expert,FA,19,0.015285943045274789,142,170,22
230714,Expert,FA,20,0.017599862217086596,142,170,22
230714,Expert,FA,21,0.016914254754224412,142,170,22
230714,Expert,DistractorLicks,0,0.00031167023196773745,142,170,14
230714,Expert,DistractorLicks,1,7.957794433470114e-05,142,170,14
230714,Expert,DistractorLicks,2,0.0020807163845807464,142,170,14
230714,Expert,DistractorLicks,3,0.0028993527264229483,142,170,14
230714,Expert,DistractorLicks,4,0.0045902710533791405,142,170,14
