session,Pre_Stimulus_Imaging,No_Lick_Interval_min,No_Lick_Interval_max,No_Lick_Interval_n,No_Lick_Correct_Rejection_Interval_min,No_Lick_Correct_Rejection_Interval_max,No_Lick_Correct_Rejection_Interval_n,Lick_Window,Left_Stimulus_Duration,Right_Stimulus_Duration,Total_Lockout,n_Rewards,Solenoid_Open,Total_Rewards,Total_Solenoid_Open,Target_Distractor
230704,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,6,0.05,150,0.30000000000000004,Original
230705,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,17,0.05,150,0.8500000000000001,Original
230706,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,11,0.05,150,0.55,Original
230707,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,26,0.05,150,1.3,Original
230708,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,22,0.05,150,1.1,Original
230709,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,12,0.05,150,0.6000000000000001,Original
230710,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,25,0.05,150,1.25,Original
230712,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,13,0.05,150,0.65,Original
230713,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,28,0.05,150,1.4000000000000001,Original
230714,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,13,0.05,150,0.65,Original
230715,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,60,0.05,150,3.0,Original
230715-2,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,50,0.05,150,2.5,Original
230716,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,21,0.05,150,1.05,Original
230717,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,13,0.05,150,0.65,Original
230718,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,62,0.05,150,3.1,Original
