session,n_trials,n_target,n_distractor,n_catch,hits,misses,false_alarms,correct_rejections,hit_rate,fa_rate,accuracy,dprime,criterion,mean_lick_latency_s,session_duration_min,n_licks,lick_rate_hz,n_camera_frames,camera_fps_est,day_number
230704,335,177,146,12,11,166,11,135,0.062146892655367235,0.07534246575342465,0.43582089552238806,-0.09988168990082702,1.4870572115158636,0.6181816708333078,45.075123330000004,610,0.22554939211669742,7370,9.992954966746916,1
230705,532,258,245,29,19,239,29,216,0.07364341085271318,0.11836734693877551,0.4417293233082707,-0.26599390595991235,1.3161848365136986,0.6002528500000163,73.09370078166667,1924,0.43870629512180365,11704,9.993174661731222,2
230706,262,109,119,34,20,89,31,88,0.1834862385321101,0.2605042016806723,0.4122137404580153,-0.26036712003205553,0.7719753156414646,0.5330182352112731,55.2683283,3245,0.9785592399278944,5764,9.992944980845431,3
230707,303,113,122,68,31,82,34,88,0.2743362831858407,0.2786885245901639,0.3927392739273927,-0.013008520888520891,0.5932461805206075,0.4847259915094288,58.1451747,2001,0.5735643614808849,6666,9.993094771497383,4
230708,264,97,121,46,31,66,27,94,0.31958762886597936,0.2231404958677686,0.4734848484848485,0.2927775486436272,0.6152410125725322,0.5764995615384649,38.15971361666667,720,0.3144677688241053,5808,9.993344432608781,5
230709,298,123,138,37,18,105,24,114,0.14634146341463414,0.17391304347826086,0.4429530201342282,-0.11343990867932585,0.9955342712165661,0.7260452541666672,42.976510295000004,564,0.2187241340787416,6556,9.993294499391933,6
230710,439,207,196,36,33,174,24,172,0.15942028985507245,0.12244897959183673,0.46697038724373574,0.16598799576261392,1.0798372923194735,0.6997986047618873,58.85021662666667,601,0.17020611377202366,9658,9.993084785330673,7
230712,187,79,82,26,16,63,19,63,0.20253164556962025,0.23170731707317074,0.42245989304812837,-0.09937674481883785,0.7829241555949308,0.6038892186046473,32.62780194333333,870,0.4444062773576664,4114,9.990708640963794,8
230713,230,81,107,42,31,50,33,74,0.38271604938271603,0.308411214953271,0.45652173913043476,0.20200366716753027,0.39935700637764615,0.6078912109589052,45.39990625833334,1539,0.5649791401340578,5060,9.990558921812058,9
230714,103,19,33,51,16,3,19,14,0.8421052631578947,0.5757575757575758,0.2912621359223301,0.8120959615163594,-0.597099986904354,0.4775272488888782,64.28981544166668,2377,0.616219947039867,2266,9.990259496995714,10
230715,271,80,113,78,65,15,41,72,0.8125,0.36283185840707965,0.5055350553505535,1.2380460987297208,-0.26812350965401566,0.5266857889908186,64.27097515666667,1694,0.43928590261018874,5962,9.990828419513598,11
230715-2,418,215,192,11,56,159,11,181,0.26046511627906976,0.057291666666666664,0.5669856459330144,0.936010718464289,1.1099174974006396,0.618367929850763,47.39913975333334,483,0.16983430589442047,9196,9.990718622383486,12
230716,112,30,46,36,20,10,22,24,0.6666666666666666,0.4782608695652174,0.39285714285714285,0.4852462141435585,-0.1881041922236782,0.3811082020408027,65.00402764333333,3291,0.843793869219199,2464,9.991048020968554,13
230717,96,14,45,37,13,1,26,19,0.9285714285714286,0.5777777777777777,0.3333333333333333,1.2690220590403392,-0.830722763165353,0.49381978260867737,47.76896767666666,1337,0.4664813668187747,2112,9.990339341856965,14
230718,284,76,137,71,67,9,61,76,0.881578947368421,0.44525547445255476,0.5035211267605634,1.3205745475370514,-0.52262957042236,0.45019535114502174,83.01702829666667,2016,0.4047362413398881,6248,9.991227702079277,15
