session,Pre_Stimulus_Imaging,No_Lick_Interval_min,No_Lick_Interval_max,No_Lick_Interval_n,No_Lick_Correct_Rejection_Interval_min,No_Lick_Correct_Rejection_Interval_max,No_Lick_Correct_Rejection_Interval_n,Lick_Window,Left_Stimulus_Duration,Right_Stimulus_Duration,Total_Lockout,n_Rewards,Solenoid_Open,Total_Rewards,Total_Solenoid_Open,Target_Distractor
230717,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,3,0.05,150,0.15000000000000002,Original
230718,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,5,0.05,150,0.25,Original
230719,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,2,0.05,150,0.1,Original
230721,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,2,0.05,150,0.1,Original
230723,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,5,0.05,150,0.25,Original
230724,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,9,0.05,150,0.45,Original
230725,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,4,0.05,150,0.2,Original
230726,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,8,0.05,150,0.4,Original
230727,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,22,0.05,150,1.1,Original
230728,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,22,0.05,150,1.1,Original
230729,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,41,0.05,150,2.0500000000000003,Original
230730,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,24,0.05,150,1.2000000000000002,Original
230731,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,54,0.05,150,2.7,Original
230801,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,33,0.05,150,1.6500000000000001,Original
230802,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,50,0.05,150,2.5,Original
230803,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,46,0.05,150,2.3000000000000003,Original
230804,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,26,0.05,150,1.3,Original
230805,1,5.5,9.5,13,0.2,1.9,9,1,0.1,0.1,0.2,72,0.05,150,3.6,Original
