session,n_trials,n_target,n_distractor,n_catch,hits,misses,false_alarms,correct_rejections,hit_rate,fa_rate,accuracy,dprime,criterion,mean_lick_latency_s,session_duration_min,n_licks,lick_rate_hz,n_camera_frames,camera_fps_est,day_number
230717,283,138,130,15,4,134,10,120,0.028985507246376812,0.07692307692307693,0.4381625441696113,-0.4698401740828413,1.660996959314268,0.5744716909090868,32.187274085,190,0.09838256754219536,6226,9.991257649548048,1
230718,631,327,286,18,9,318,10,276,0.027522935779816515,0.03496503496503497,0.45166402535657685,-0.10615061425732364,1.865438669988992,0.7069804080000139,69.915737125,249,0.059357165792021244,13882,9.99098812872383,2
230719,356,200,153,3,1,199,0,153,0.005,0.0,0.43258426966292135,0.14377804023837282,2.6477183236680872,0.4264240500000085,37.36213213166666,69,0.030779827980569274,7832,9.990459111553246,3
230721,351,193,152,6,2,191,0,152,0.010362694300518135,0.0,0.43874643874643876,0.4044880374656823,2.515194013764339,0.42998120000000173,37.417225173333335,54,0.02405309308295303,7722,9.991217719623906,4
230723,418,228,183,7,5,223,4,179,0.021929824561403508,0.02185792349726776,0.44019138755980863,0.0013755295939108514,2.0161174265037918,0.5234294285714327,46.50811845666667,248,0.08887337244538311,9196,9.990968164779126,5
230724,421,226,186,9,9,217,9,177,0.03982300884955752,0.04838709677419355,0.4418052256532066,-0.09204605010954725,1.7067206356088152,0.49075863703703354,55.11758604833333,2890,0.8738892633002594,9262,9.99062879019801,6
230725,424,229,188,7,5,224,4,184,0.021834061135371178,0.02127659574468085,0.44575471698113206,0.010806601457528764,2.0226658442051426,0.8162211230768642,48.36344838666666,499,0.17196182125341358,9328,9.9905788840986,7
230726,588,311,264,13,10,301,10,254,0.03215434083601286,0.03787878787878788,0.4489795918367347,-0.07418336180360963,1.812942094715892,0.7614004318181827,67.88699504499999,535,0.13134572624338595,12940,9.991197754778682,8
230727,274,65,127,82,24,41,58,69,0.36923076923076925,0.4566929133858268,0.33941605839416056,-0.22512250599787895,0.22133010870229958,0.5709717968750216,96.66227676666668,5082,0.8762466893311188,6028,9.991317545058227,9
230728,228,40,94,94,27,13,58,36,0.675,0.6170212765957447,0.27631578947368424,0.1560953399834834,-0.3757145201781379,0.5576847272727611,113.82471325499999,3798,0.5561182469943048,5016,9.990718622383486,10
230729,204,73,87,44,45,28,24,63,0.6164383561643836,0.27586206896551724,0.5294117647058824,0.8913183761735204,0.14951934524651758,0.5068942757143005,31.07378399,263,0.1410621034999778,4488,9.991317545058227,11
230730,350,189,154,7,24,165,7,147,0.12698412698412698,0.045454545454545456,0.48857142857142855,0.5498578903502995,1.415692684409748,0.5623779161290297,39.77568369666666,527,0.22082168091228577,7700,9.990778511419759,12
230731,300,152,137,11,54,98,8,129,0.35526315789473684,0.058394160583941604,0.61,1.1972484899230953,0.9697735681638316,0.5933872693548383,34.69688550833333,619,0.29733696599912,6600,9.990538959605288,13
230801,413,216,177,20,35,181,12,165,0.16203703703703703,0.06779661016949153,0.48426150121065376,0.5062838597170125,1.2392622484618527,0.6268265755101942,47.833414995,583,0.20313554170619733,9086,9.991247667044185,14
230802,328,109,148,71,56,53,52,96,0.5137614678899083,0.35135135135135137,0.4634146341463415,0.4161763820228816,0.1735864627541218,0.6122147194690455,102.13295944,11212,1.829641162767296,7216,9.990419187971813,15
230803,292,157,132,3,45,112,3,129,0.28662420382165604,0.022727272727272728,0.5958904109589042,1.4371496981322682,1.281848720039846,0.5274049875000045,32.70023133666667,1128,0.5749194801236656,6424,9.990568902956705,16
230804,168,91,75,2,26,65,0,75,0.2857142857142857,0.0,0.6011904761904762,1.9087908272866208,1.5203442355761736,0.519591757692311,19.233837591666664,963,0.8344668568353667,3696,9.9910380388779,17
230805,205,80,88,37,71,9,17,71,0.8875,0.19318181818181818,0.6926829268292682,2.0795703673366477,-0.17355443882019317,0.3975316460674027,32.44359118166667,939,0.4823756997913213,4510,9.99067869677332,18
